country,PC1,PC2,PC3,PC4,PC5
Italy,-18.421090136495092,-8.915827574377849,2.8252635635460477,0.07821478402040309,-0.8475918155627775
San Marino,-11.371252361923878,-8.53894080359633,-2.570959755311903,1.894314339355982,2.487799994750045
Malta,-10.764196476858816,-9.03112721192449,-1.8436896545732413,0.8905007928771842,1.8823808762922942
Albania,-18.46426350989856,-9.318156983583618,2.666980619369431,0.43967515771977195,-0.7202170043718905
Montenegro,-17.888080112886854,-9.525805652250686,2.449178026485868,0.8198028321124942,-0.5025874723558152
North Macedonia,-15.40809502751524,-9.235473357052445,0.2907594135574745,1.608890674524022,0.9789398349921263
Croatia,-19.0248111627454,-9.296874592497803,2.8458535493871913,0.4688129268605514,-0.5404932387519512
Yugoslavia,-6.422868316644909,-5.960711062558855,2.9182840514514914,3.4343414716553307,-0.1726173618460577
Slovenia,-18.548991291848925,-9.89754658729947,2.939924925637451,0.9788134637237538,-0.724725616934871
Greece,-16.38886192242026,-9.177621152106408,2.8029039332466184,1.1723717179468083,-0.03627712264679765
Cyprus,-10.494035227889245,-8.530919142036153,-0.6923366938845501,0.5410145862100221,2.620083535057624
Bulgaria,-18.439244939217478,-9.619213683866496,2.3583793094165095,0.8362764644168985,-0.24031331595696287
Moldova,-12.980000280028705,-7.936081571438788,-1.7069498142875215,1.140570488702819,1.8216211552855788
Romania,-19.590841259252986,-8.590206050860017,3.724895811655334,0.25484765032030454,-0.11916297064203608
Russia,1.4678939871275631,6.1066392141542964,25.709741302191798,2.556776851311685,-5.722672242451273
Estonia,-19.830899323499203,-9.462376867362503,4.473714390636128,0.14415920725549622,-0.2545903047304507
Latvia,-20.123520710087377,-8.996091107715538,4.308050428318464,-0.028557478132323833,-0.395068320040474
Lithuania,-20.72792524004675,-8.737573277608154,3.9055298638286433,-0.19559346129862223,-0.8239895834773213
Ukraine,-18.828873298049903,-7.542493615067519,2.3709534946993966,-0.4661388040856483,1.4153051339022442
Belarus,9.039550022625024,1.2633060511919383,9.906469703507819,5.082486305863849,2.2797027028344177
Armenia,0.9675197893498596,-2.1735238159498445,6.128304357609611,2.818695971981423,0.7664398078802835
Georgia,-15.986250507582342,-6.143562541547538,2.058132287912383,-0.3716454899825571,0.6061448623900236
Azerbaijan,10.139316470921326,-2.715629340737255,-0.42809719310777483,-1.2278525715089312,1.9895064107229348
Finland,-15.85566909611754,-9.229259725856698,1.2394413192578861,1.2309489206586743,1.5800584992146558
Sweden,-13.021981416060523,-8.862321436627468,-1.6527385367877134,1.8681809717149425,2.224246242150472
Norway,-16.980257399798784,-9.301617897361872,2.0488626168007613,1.2111822331345632,-0.5972874750147035
Denmark,-19.818989775418288,-9.32474062381828,3.0792866766963187,0.7962276536223268,-0.776129438098612
Iceland,-16.309808879357984,-9.784596103285494,1.9347183098828693,0.39099266160994517,-0.23536842623752358
Cape Verde,7.786303620141027,-2.7943117004602565,-5.579896286424667,-1.674280114560827,-2.7927177281030136
Gambia,5.620749969254295,4.796182416620424,5.180747474807488,-0.38023879644342196,2.2636719963179046
Mali,8.055250044718735,-3.482655803915522,-0.7319513276459261,-1.1153615467492177,-2.71626411131467
Senegal,8.039330292087715,-3.929719571513233,-4.2871232304283255,-2.6528393052286794,-1.8298406524711908
Benin,6.375411137746292,1.7020147575815814,-6.002730943526845,-1.3603698605394083,-4.057026323406663
Niger,3.570705524102978,5.949767351050216,1.0003124056716006,-0.5986442380359615,-11.074136829828642
Côte d’Ivoire,4.821973769045594,4.642117015585268,-8.035252688477325,1.8245096989480918,0.9244450074750393
Guinea,6.086440474896187,0.36864520439066156,1.1766200342087851,-2.779607830290184,-0.1812677229904775
Burkina Faso,7.995039331659077,-1.4132151712996435,-5.146764432339606,-0.9600089315580456,-1.6607797254984862
Liberia,-1.222488837669411,8.00470010196399,-10.769905163297627,-2.1015209412063833,-1.0927303179843912
Sierra Leone,6.268458494841077,-1.0509761274620968,-2.7767117074850933,-1.8716899035663066,-3.709311878059581
Ghana,5.294947360272961,1.806139674324544,-7.894964907851296,0.6989393648905602,-2.8884613856088635
Togo,3.9593363363447978,4.933721889396177,-8.798710949971163,2.6850492187116095,1.197534187661467
Cameroon,2.1631955208632108,15.575639305379998,-0.3505737741835866,8.306692969885079,-0.2772434121496424
Gabon,5.52176931395429,7.853207544631347,4.58111887620247,-3.799040898718605,2.780977338281953
Central African Republic,3.7593465128122756,6.269762665826756,-2.2822196635556944,4.794996937838857,-8.40518317001446
Chad,4.980229009832259,4.702421027885331,-3.0444917080906913,-4.412244735129602,-2.188522367179396
Congo - Brazzaville,9.106083453559881,-0.44637357005794287,-2.4631904355806844,-0.47103391032005715,-2.6140619288981823
Kenya,10.738147041752677,-1.7543230920516943,-0.36284436128761155,-0.30798156196778903,-1.6349436674198414
Tanzania,10.103513090996087,-0.17086140858841287,1.027249314466434,-0.4801490839509126,1.1290434621509302
Burundi,11.682414094834693,4.307005862408193,2.9308047237279338,5.278498902679209,-1.674214670893103
Somalia,-3.1119082657619934,20.21723980750205,10.551213240541802,-8.449394302760506,3.129143027385687
Ethiopia,9.460749338148707,-1.9406068915670278,-2.655616567710102,-1.4541145820428825,-0.49815128013804727
Eritrea,11.118839048945171,0.9265689622546022,1.4656479889088465,0.10245753128488169,2.356369096646435
Zimbabwe,10.537116302356328,7.568331563365853,16.32631878228407,4.013542948197224,5.248474216957844
Malawi,3.8704779328236305,5.890901685152745,-8.633147267189065,0.9949072954534279,-2.5541020486302446
South Africa,9.559744423065158,-2.6410475663370185,1.259573465314293,-0.2509597732698494,-1.3358240594653275
Namibia,9.350400335871786,-0.20660849359667643,-0.4413265815177707,-0.8916809586729355,-3.6570396543996933
Lesotho,7.95565243704163,-0.7614816396861875,-4.447347073262462,0.5319486171630425,-1.9110902530932958
Botswana,7.280272631297028,-1.5761103891262105,-5.955156614295752,-1.4865062953226915,-2.734948747002048
Eswatini,2.6240474406365806,12.192290179683194,-7.243800305497314,4.529658178349344,-0.2681271522075661
Madagascar,5.3755308871953105,6.835198440483257,-8.924592510169584,4.82002547144402,-0.6690448310925555
Mauritius,9.291389381515582,-0.6064397390607199,1.0892521479714175,-0.651518493069811,-4.911583802885895
Morocco,9.183133091329303,-3.274997639470088,-1.5346330144813332,-4.408011433416753,3.1807964653390446
Algeria,12.16763915738215,-1.8178285063696435,3.216961528456131,-1.200386071340522,5.0998304928698035
Tunisia,9.261991007409412,-4.103608487254664,-2.207001635838328,-3.0408664905690994,3.2663745560062596
Sudan,13.39953583295312,-0.8401988902429226,4.6329974181598805,-0.649202976190381,5.695812392554626
South Sudan,-6.269429471498062,25.505515597047566,10.973627021002667,-0.4119115347060575,-5.6286146213240755
Iran,14.495983385682516,5.65174795591027,18.07192285927807,4.56276013789628,5.227666739714534
Turkey,-10.66784905201854,-8.703063350555555,6.479835928401159,-2.1432996508659117,-1.17526408882887
Iraq,11.923786707698037,-2.498265154317096,1.4464185049241052,-2.3307437114077327,4.732625177018552
